x_u,dp_u,x_l,dp_l
0,994.1001105,0,994.1001105
17.55,-1095.697005,13.9,265.6621485
35.55,-857.5915425,39.5,204.566719
52.75,-844.4506315,65.2,148.276548
72.25,-702.4503395,91.7,164.555587
91.25,-656.9474835,119.25,203.6841205
109.05,-569.766365,144.85,142.588691
127.2,-452.7730305,,
145.2,-259.7781585,,
163.4,-113.75714,,
