x_u,dp_u,x_l,dp_l
0,233.790536,0,233.790536
17.55,252.227038,13.9,-1505.516908
35.55,0,39.5,-558.2925845
52.75,-94.2419065,65.2,-219.66896
72.25,-171.616375,91.7,-232.221472
91.25,-186.0321505,119.25,-56.290171
109.05,-161.221326,144.85,-52.6617105
127.2,-109.5402805,,
145.2,-41.384063,,
163.4,0,,
