x_u,dp_u,x_l,dp_l
0,1101.090662,0,1101.090662
17.55,-531.2262305,13.9,-307.144278
35.55,-518.771785,39.5,-110.619012
52.75,-500.8256155,65.2,-79.237732
72.25,-528.970701,91.7,0
91.25,-466.012008,119.25,-91.005712
109.05,-392.7563325,144.85,-66.292954
127.2,-328.326642,,
145.2,-97.3800345,,
163.4,-47.268053,,
